Complexe sportif Rosaire-Bélanger,"36, rue des Pins Est",Rivière-Bleue
Membre honoraire,"121, 5e Rue",New Richmond
Membre honoraire,"101 c, rue Collin",Saint-Cyprien
Membre honoraire,"630, rue Vézina",Trois-Pistoles
Membre honoraire,"204, rue Dionne",Matane
Membre honoraire,"372, du Père-Leneuf",Rimouski
Municipalité de Nouvelle,"470, rue Francoeur, C.P. 68",Nouvelle
Municipalité de Port-Daniel-Gascons,"494, Route 132",Port-Daniel
Municipalité de Saint-Jean-de-Dieu,"32, rue Principale Sud",Saint-Jean-de-Dieu
Municipalité des Îles-de-la-Madeleine,"460, chemin Principal","Les Îles-de-la-Madeleine, Cap-aux-Meules"
Palais des sports,"20, rue de l'École",Saint-Léonard
Pavillon des loisirs,"32, avenue de l’Aréna, C.P 39",Saint-Fabien
"Service du développement local, des loisirs et de la culture","25, Hôtel de ville",Gaspé
Services des loisirs Dégelis,"369, Principale",Dégelis
Stade du centenaire,"40, ave. Hôtel de Ville",Mont-Joli
Ville de Carleton-sur-Mer,"629, boul. Perron",Carleton-sur-Mer
"Ville d'Edmundston, Loisirs et Culture","7, chemin Canada",Edmundston
Aréna de Grand-Mère,"601, 3e avenue",Shawinigan
Aréna de Saint-Boniface,"180, rue Langevin",Saint-Boniface
Aréna Émile-Bédard,"540, 207e avenue ",Shawinigan
Aréna Fernand-Asselin,"255, Place Maurice-L. Duplessis",Trois-Rivières
Aréna Gilles-Bourassa,"1609, 117e rue",Shawinigan
Aréna Glace Olympique Énergie,"260, rue Dessureault",Trois-Rivières
Aréna Jean-Guy Talbot,"245, rue de Grandmont",Trois-Rivières
Aréna Jérôme-Cotnoir,"5225, rue de Courcelette",Trois-Rivières
Aréna le Prix du Gros.com,"161, rue Gamelin",Sainte-Anne-de-la-Pérade
Aréna Pierre-Provencher,"180, rue de Monseigneur-Panet",Nicolet
Aréna Roland-Rheault,"1295, avenue Nicolas-Perrot",Bécancour
Centre culturel et sportif,"185, Route 218",Saint-Pierre-les-Becquets
Centre Gervais Auto,"1, rue Jacques-Plante",Shawinigan
Centre Richard-Lebeau,"375, rue Germain",Saint-Léonard-d'Aston
Centre sportif de Louiseville,"360, Avenue du Parc",Louiseville
Centre sportif et communautaire,"52, rue Kenosi, C.P. 221",Wemotaci
Colisée et aréna Claude Mongrain,"1740, Avenue Gilles-Villeneuve, C.P. 368",Trois-Rivières
Colisée municipal,"360, Lucien-Filion",La Tuque
Complexe sportif Saint-Louis-de-France,"155, de la Mairie",Trois-Rivières
Faubourg Mont-Bénilde,"1325, ave des Pensées",Bécancour
Sportium municipal,"425, boul. St-Joseph",Saint-Tite
Aréna Ahuntsic,"10560, rue St-Hubert",Montréal
Aréna André-Richard,"866, boul. Cadieux",Beauharnois
Aréna André-St-Laurent,"799, rue Lajeunesse",Beloeil
aréna Bill-Durnan,"4988, rue Vézina",Montréal
Aréna Bob Birnie,"58, avenue Maywood",Pointe-Claire
Aréna Camillien-Houde,"1696, rue Montcalm",Montréal
Aréna Cartier,"100, montée Major",Laval
Aréna Chaumont,"8750, avenue Chaumont",Montréal
Aréna Chénier,"8200, rue Chénier",Montréal
Aréna Chomedey,"1160, boul. Pie X",Laval
Aréna Clément-Jetté,"8780, avenue Dubuisson",Montréal
Aréna Cynthia Coull,"195, rue Empire",Greenfield Park
Aréna de Blainville,"1009, rue de la Mairie",Blainville
Aréna de Boisbriand,"999, boul. de la Grande-Allée",Boisbriand
Aréna de Dorval,"1450, avenue Dawson",Dorval
Aréna de Kirkland (Kirkland sports complex),"16950, boulevard Hymus",Kirkland
Aréna de la Cité-des-Jeunes,"2580, rue Paul-Gérin-Lajoie",Vaudreuil-Dorion
Aréna de la Ville de La Prairie,"250, rue du Vice-Roy",La Prairie
Aréna de l'université Concordia (Ed Meagher),"7200, rue Sherbrooke ouest",Montréal
Aréna de l'université de Montréal,"2050, boul Édouard-Montpetit",Montréal
Aréna de l'université McGill (aréna McConnell),"3883, rue Université",Montréal
Aréna de Mascouche,"840, rue Brien",Mascouche
Aréna de Rosemère,"155, rue Charbonneau",Rosemère
aréna Doug-Harvey,"4985, avenue West Hill",Montréal
Aréna du Collège Bourget,"65, rue St-Pierre",Rigaud
Aréna du Collège de l'Assomption,"150, rue Dorval",L'Assomption
Aréna du Collège Jean-de-Brébeuf,"5635, rue Decelles",Montréal
Aréna du Collège McDonald,"21111, Lake Shore Road",Ste-Anne-de-Bellevue
Aréna du Collège Notre-Dame,"3791, chemin Queen-Mary",Montréal
"Aréna Émile ""Butch"" Bouchard","200, rue de Gentilly Est",Longueuil
Aréna Eric-Sharp,"600, avenue Oak",Saint-Lambert
Aréna Étienne-Desmarteau,"3430, rue De Bellechasse",Montréal
Aréna Fleury,"3700, rue Fleury Est",Montréal
Aréna Francis Bouillon,"3175, rue Rouen",Montréal
Aréna Garon,"11212, avenue Garon",Montréal
Aréna Gilles Lupien,"200, rue Macvicar",Brownsburg-Chatham
Aréna Hartland-Monahan,"6200, boul. Arthur-Sauvé",Laval
Aréna Howie-Morenz,"8650, rue Querbes",Montréal
Aréna Jacques Lemaire,"8681, boul. Champlain",Montréal
Aréna Jacques-Cartier,"1143, rue De Lorimier",Longueuil
Aréna Jean-Rougeau,"10, rue Bella-Vista",Saint-Basile-le-Grand
Aréna Joannie Rochette,"880, rue Giroux",Berthierville
Aréna Julien-Beauregard,"727, rue Desjardins",Marieville
Aréna Kevin Lowe - Pierre Pagé,"80, rue Hamford",Lachute
Aréna Le Gardeur,"525, rue Laverdière",Repentigny
Aréna L'Olympia,"611, 20e avenue",Deux-Montagnes
Aréna Lower Canada College,"4099, avenue Royal",Montréal
Aréna Lucerne,"1750, rue de Neuville",Laval
Aréna Marcel-Larocque,"370, avenue Lareau",Saint-Jean-sur-Richelieu
